Name,Cost,Cuisine_List
Beyond Flavours,800,"['chinese', 'continental', 'kebab', 'european', 'southindian', 'northindian']"
Paradise,800,"['biryani', 'northindian', 'chinese']"
Flechazo,1300,"['asian', 'mediterranean', 'northindian', 'desserts']"
Shah Ghouse Hotel & Restaurant,800,"['biryani', 'northindian', 'chinese', 'seafood', 'beverages']"
Over The Moon Brew Company,1200,"['asian', 'continental', 'northindian', 'chinese', 'mediterranean']"
The Fisherman's Wharf,1500,"['seafood', 'goan', 'northindian', 'continental', 'asian']"
eat.fit,500,"['healthyfood', 'northindian', 'continental', 'southindian']"
Shah Ghouse Spl Shawarma,300,['lebanese']
Hyper Local,1000,"['american', 'chinese', 'northindian', 'kebab', 'southindian']"
Cream Stone,350,"['icecream', 'desserts']"
Sardarji's Chaats & More,400,"['streetfood', 'northindian', 'fastfood']"
Barbeque Nation,1600,"['mediterranean', 'northindian', 'kebab', 'bbq']"
Absolute Sizzlers,750,"['continental', 'american', 'chinese']"
The Lal Street - Bar Exchange,1300,"['northindian', 'italian', 'fingerfood']"
AB's - Absolute Barbecues,1500,"['european', 'mediterranean', 'northindian']"
KFC,500,"['burger', 'fastfood']"
NorFest - The Dhaba,550,['northindian']
Hotel Zara Hi-Fi,400,"['chinese', 'northindian']"
10 Downing Street,1900,"['northindian', 'chinese', 'continental']"
Pakwaan Grand,400,"['northindian', 'chinese', 'biryani']"
13 Dhaba,450,['northindian']
Jonathan's Kitchen - Holiday Inn Express & Suites,1900,"['northindian', 'japanese', 'italian', 'salad', 'sushi']"
B-Dubs,1600,['american']
Amul,150,"['icecream', 'desserts']"
SKYHY,1400,"['northindian', 'chinese', 'continental']"
Tiki Shack,1000,['continental']
Mustang Terrace Lounge,1300,"['mexican', 'italian', 'northindian', 'chinese', 'salad']"
"3B's - Buddies, Bar & Barbecue",1100,"['northindian', 'mediterranean', 'european']"
Behrouz Biryani,600,"['mughlai', 'biryani']"
Hunger Maggi Point,200,['fastfood']
Pista House,1000,"['bakery', 'northindian', 'mughlai', 'juices', 'chinese']"
Marsala Food Company,700,"['arabian', 'northindian', 'chinese']"
Club Rogue,900,"['northindian', 'fastfood']"
Mazzo - Marriott Executive Apartments,1700,"['italian', 'northindian', 'southindian', 'asian']"
Green Bawarchi Restaurant,700,"['northindian', 'chinese', 'biryani']"
Banana Leaf Multicuisine Restaurant,700,"['biryani', 'southindian', 'northindian', 'chinese', 'andhra']"
Kritunga Restaurant,500,"['andhra', 'biryani', 'hyderabadi', 'northindian']"
The Glass Onion,1200,"['northindian', 'continental', 'italian', 'asian']"
Deli 9 Bistro,700,"['cafe', 'continental', 'desserts']"
Frio Bistro,1200,"['european', 'italian', 'continental', 'spanish']"
Karachi Bakery,500,"['bakery', 'fastfood', 'desserts']"
Karachi Cafe,600,"['cafe', 'desserts', 'fastfood']"
The Foodie Monster Kitchen,500,"['american', 'wraps', 'desserts']"
La La Land - Bar & Kitchen,1000,"['fingerfood', 'northindian', 'kebab', 'chinese']"
Owm Nom Nom,900,"['chinese', 'biryani', 'andhra', 'northindian']"
Ulavacharu,1400,"['andhra', 'northindian', 'chinese']"
Shanghai Chef 2,800,"['chinese', 'thai', 'indonesian', 'asian']"
Udipi's Upahar,500,"['southindian', 'northindian', 'chinese']"
Mathura Vilas,500,"['southindian', 'northindian', 'chinese']"
Gal Punjab Di,800,"['northindian', 'continental']"
Hitech Bawarchi Food Zone,500,"['biryani', 'northindian', 'chinese']"
Biryanis And More,500,"['northindian', 'biryani', 'chinese']"
Diners Pavilion,1200,"['chinese', 'continental', 'italian']"
Asian Meal Box,200,['asian']
Cafe Eclat,700,"['cafe', 'bakery']"
Feast - Sheraton Hyderabad Hotel,2500,"['modernindian', 'asian', 'continental', 'italian']"
Being Hungry,450,"['northindian', 'chinese']"
Tempteys,350,"['desserts', 'beverages']"
KS Bakers,200,"['bakery', 'desserts', 'fastfood']"
PourHouse7,1200,"['northindian', 'continental', 'chinese', 'italian']"
Prism Club & Kitchen,1200,"['kebab', 'continental', 'italian', 'northindian']"
Shree Santosh Dhaba Family Restaurant,500,"['northindian', 'chinese', 'fastfood']"
Dine O China,850,"['chinese', 'asian', 'momos']"
Hyderabad Chefs,600,"['northindian', 'chinese']"
Komatose - Holiday Inn Express & Suites,1500,"['northindian', 'chinese', 'japanese', 'sushi']"
Aromas@11SIX,750,"['northindian', 'chinese', 'mughlai', 'biryani']"
Yum Yum Tree - The Arabian Food Court,1200,"['northindian', 'hyderabadi']"
The Tilt Bar Republic,1500,"['northindian', 'continental', 'italian']"
The Indi Grill,1500,"['bbq', 'asian', 'modernindian']"
Urban Asia - Kitchen & Bar,1100,"['asian', 'thai', 'chinese', 'sushi', 'momos']"
Eat India Company,1300,"['northindian', 'mughlai', 'beverages']"
Labonel,1000,"['bakery', 'desserts']"
Driven Cafe,600,"['cafe', 'fastfood', 'beverages']"
Faasos,600,"['fastfood', 'biryani', 'desserts']"
Royal Spicy Restaurant,700,"['northindian', 'southindian']"
The Old Madras Baking Company,350,['bakery']
Squeeze @ The Lime,650,"['italian', 'northindian', 'chinese', 'salad']"
Khaan Saab,1100,"['northindian', 'mughlai']"
Olive Garden,700,"['northindian', 'chinese', 'continental', 'biryani']"
Tandoori Food Works,500,"['northindian', 'burger', 'kebab']"
Delhi-39,600,"['northindian', 'chinese']"
Al Saba Restaurant,750,"['northindian', 'chinese', 'seafood', 'biryani', 'hyderabadi']"
GD's,500,"['burger', 'american']"
T Grill,700,"['northindian', 'andhra', 'biryani', 'chinese']"
Momos Delight,200,['momos']
The Chocolate Room,600,"['cafe', 'desserts']"
American Wild Wings,600,"['american', 'fastfood', 'salad', 'burger']"
Domino's Pizza,400,"['fastfood', 'pizza']"
Mohammedia Shawarma,150,"['streetfood', 'arabian']"
Arena Eleven,1600,['continental']
Cascade - Radisson Hyderabad Hitec City,1800,"['northindian', 'italian', 'continental', 'asian']"
Collage - Hyatt Hyderabad Gachibowli,2800,"['continental', 'italian', 'northindian', 'chinese', 'asian']"
Zing's Northeast Kitchen,550,"['northeastern', 'momos']"
Dunkin' Donuts,550,"['desserts', 'cafe', 'beverages', 'burger', 'fastfood']"
Desi Bytes,400,"['northindian', 'chinese']"
Hyderabadi Daawat,600,"['hyderabadi', 'chinese', 'mughlai']"
Zega - Sheraton Hyderabad Hotel,1750,"['asian', 'sushi']"
Triptify,400,['northindian']
Chinese Pavilion,1000,"['chinese', 'seafood']"
IndiBlaze,600,"['fastfood', 'salad']"
Sweet Basket,200,"['bakery', 'mithai']"
Angaara Counts 3,500,"['northindian', 'biryani', 'chinese']"
Wich Please,250,['fastfood']
Republic Of Noodles - Lemon Tree Hotel,1700,"['thai', 'asian', 'chinese', 'malaysian']"
